eventid,date,country,iso_code,region,prov_state,city,latitude,longitude,attack_type,target_type,group,weapon_type,killed,wounded
2.01804E+11,4/26/18,Afghanistan,AFG,South Asia,Takhar,Yangi Qala,37.465556,69.611111,Unknown,Government (General),Taliban,Unknown,3,6
2.0181E+11,10/15/18,Afghanistan,AFG,South Asia,Takhar,Yangi Qala district,37.451546,69.664698,Bombing/Explosion,Private Citizens & Property,Taliban,Explosives,0,11
2.0181E+11,10/20/18,Afghanistan,AFG,South Asia,Takhar,Yangi Qala district,37.451546,69.664698,Unknown,Government (General),Taliban,Unknown,1,3
2.0181E+11,10/20/18,Afghanistan,AFG,South Asia,Takhar,Yangi Qala district,37.451546,69.664698,Unknown,Government (General),Taliban,Unknown,1,2
2.0181E+11,10/20/18,Afghanistan,AFG,South Asia,Takhar,Yangi Qala district,37.451546,69.664698,Unknown,Government (General),Taliban,Unknown,1,2
2.01812E+11,12/1/18,Afghanistan,AFG,South Asia,Takhar,Hazaraha,37.43636,69.695754,Unknown,Terrorists/Non-State Militia,Taliban,Unknown,4,0
2.01805E+11,5/1/18,Afghanistan,AFG,South Asia,Badakhshan,Kohistan district,37.421111,70.656111,Unknown,Police,Taliban,Unknown,17,9
2.01805E+11,5/3/18,Afghanistan,AFG,South Asia,Badakhshan,Kohistan district,37.421111,70.656111,Unknown,Private Citizens & Property,Taliban,Unknown,5,3
2.01802E+11,2/8/18,Afghanistan,AFG,South Asia,Takhar,Alamjar,37.420974,69.504237,Armed Assault,Police,Taliban,Firearms,2,1
2.0181E+11,10/11/18,Afghanistan,AFG,South Asia,Jawzjan,Qarqin district,37.419001,66.028936,Unknown,Private Citizens & Property,Taliban,Unknown,6,
2.01806E+11,6/28/18,Afghanistan,AFG,South Asia,Takhar,Yatem Tepa,37.401805,69.88907,Unknown,Police,Taliban,Unknown,16,1
2.01809E+11,9/30/18,Afghanistan,AFG,South Asia,Jawzjan,Deo Qala,37.35779,65.739854,Bombing/Explosion,Police,Unknown,Explosives,1,1
2.01809E+11,9/9/18,Afghanistan,AFG,South Asia,Jawzjan,Khamyab district,37.354543,65.720992,Hostage Taking (Kidnapping),Government (General),Taliban,Firearms,15,11
2.01809E+11,9/30/18,Afghanistan,AFG,South Asia,Badakhshan,Dawing,37.344722,70.135,Armed Assault,Police,Taliban,Firearms,1,6
2.01809E+11,9/28/18,Afghanistan,AFG,South Asia,Takhar,Khwaja Baha Wuddin district,37.340282,69.536772,Unknown,Terrorists/Non-State Militia,Taliban,Unknown,3,4
2.01805E+11,5/3/18,Afghanistan,AFG,South Asia,Takhar,Khwaja Baha Wuddin district,37.339167,69.5825,Unarmed Assault,Educational Institution,Unknown,Chemical,0,45
2.01811E+11,11/1/18,Afghanistan,AFG,South Asia,Badakhshan,Shewa,37.302321,70.844742,Unknown,Terrorists/Non-State Militia,Taliban,Unknown,5,1
2.01809E+11,9/12/18,Afghanistan,AFG,South Asia,Jawzjan,Khamyab district,37.289748,65.707884,Armed Assault,Police,Taliban,Firearms,3,10
2.01809E+11,9/15/18,Afghanistan,AFG,South Asia,Jawzjan,Dinar,37.287371,66.148205,Unknown,Police,Taliban,Unknown,12,7
2.01811E+11,11/1/18,Afghanistan,AFG,South Asia,Badakhshan,Shewa,37.282894,70.841144,Unknown,Terrorists/Non-State Militia,Taliban,Unknown,5,1
2.01809E+11,9/15/18,Afghanistan,AFG,South Asia,Jawzjan,Yazariq,37.281214,66.087171,Unknown,Police,Taliban,Unknown,12,8
2.01809E+11,9/23/18,Afghanistan,AFG,South Asia,Balkh,Toqi,37.243848,67.098836,Bombing/Explosion,Police,Unknown,Explosives,1,4
2.01808E+11,8/13/18,Afghanistan,AFG,South Asia,Takhar,Arab Kakal,37.240556,69.474167,Bombing/Explosion,Private Citizens & Property,Taliban,Explosives,5,6
2.01812E+11,12/29/18,Afghanistan,AFG,South Asia,Kunduz,Alif Berdy,37.197711,68.975706,Unknown,Military,Taliban,Unknown,1,1
2.0181E+11,10/18/18,Afghanistan,AFG,South Asia,Kunduz,Naw Abad,37.19418,69.058552,Unknown,Police,Taliban,Unknown,2,2
2.01802E+11,2/13/18,Afghanistan,AFG,South Asia,Kunduz,Ashkali,37.191389,69.033333,Bombing/Explosion,Private Citizens & Property,Taliban,Explosives,1,3
2.01804E+11,4/18/18,Afghanistan,AFG,South Asia,Kunduz,Shir Khan Bandar,37.189932,68.609668,Bombing/Explosion,Unknown,Taliban,Explosives,2,0
2.01804E+11,4/2/18,Afghanistan,AFG,South Asia,Kunduz,Imam Sahib district,37.184444,68.914444,Bombing/Explosion,Police,Unknown,Explosives,1,4
2.01806E+11,6/22/18,Afghanistan,AFG,South Asia,Kunduz,Imam Sahib,37.181767,68.911302,Armed Assault,Military,Taliban,Firearms,4,3
2.01808E+11,8/13/18,Afghanistan,AFG,South Asia,Takhar,Dashti Qala district,37.16784,69.415799,Facility/Infrastructure Attack,Maritime,Taliban,Incendiary,12,5
2.01806E+11,6/29/18,Afghanistan,AFG,South Asia,Takhar,Aye-Khanum,37.166863,69.412958,Hostage Taking (Kidnapping),Police,Taliban,Firearms,6,2
